Origin,CRSElapsedTime,AirTime,Distance,Year,IsWeekend,Season,CRSArr_TimeOfDay,CRSDep_TimeOfDay,dest_temperature_2m_mean,dest_wind_speed_10m_max,dest_wind_gusts_10m_max,dest_precipitation_sum,dest_rain_sum,dest_snowfall_sum,dest_precipitation_hours,dest_weather_code,dest_temperature_2m_range,origin_temperature_2m_mean,origin_wind_speed_10m_max,origin_wind_gusts_10m_max,origin_precipitation_sum,origin_rain_sum,origin_snowfall_sum,origin_precipitation_hours,origin_weather_code,origin_temperature_2m_range,airline_name,SinMonth,CosMonth,SinDay,CosDay
SAN,307.0,253.0,2370.0,2021,0,Spring,Evening,Morning,-4.5,8.6,58.7,0.4,0.0,0.28,4.0,71,7.4,12.7,25.9,41.0,2.4,2.4,0.0,11.0,51,4.6,American Airlines Inc.,1.0,6.123233995736766e-17,0.72479278722912,0.6889669190756866
PVD,84.0,57.0,237.0,2023,0,Winter,Evening,Afternoon,-14.1,9.0,56.5,0.8,0.0,0.56,4.0,73,16.599999999999998,4.8,17.6,30.2,9.9,9.9,0.0,11.0,63,9.299999999999999,PSA Airlines Inc.,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945
SLC,260.0,227.0,1927.0,2024,1,Fall,Evening,Morning,-0.7,10.2,34.6,1.3,0.6,0.49,10.0,71,5.199999999999999,20.7,14.8,30.2,0.0,0.0,0.0,0.0,1,14.8,Delta Air Lines Inc.,-0.8660254037844386,0.5000000000000001,0.8486442574947509,0.5289640103269624
PBI,153.0,159.0,951.0,2020,1,Summer,Morning,Morning,4.1,8.9,36.0,3.5,2.8,0.49,11.0,73,8.7,28.1,25.3,43.2,1.4,1.4,0.0,5.0,53,1.8999999999999986,Republic Airline,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203
TPA,156.0,128.0,920.0,2024,0,Spring,Afternoon,Morning,-6.9,13.1,42.8,1.6,0.0,1.12,5.0,73,11.8,18.9,21.0,38.5,0.0,0.0,0.0,0.0,0,10.8,American Airlines Inc.,0.8660254037844387,-0.49999999999999983,0.72479278722912,0.6889669190756866
TPA,153.0,136.0,920.0,2023,1,Spring,Afternoon,Afternoon,-5.4,9.1,56.5,0.0,0.0,0.0,0.0,1,13.1,24.5,22.7,43.9,1.3,1.3,0.0,7.0,51,9.5,American Airlines Inc.,0.8660254037844387,-0.49999999999999983,0.8486442574947509,0.5289640103269624
RDU,91.0,52.0,337.0,2023,1,Fall,Evening,Afternoon,-7.6,10.2,27.7,0.0,0.0,0.0,0.0,3,13.9,6.4,17.3,37.4,0.0,0.0,0.0,0.0,3,5.1000000000000005,Republic Airline,-0.5000000000000004,0.8660254037844384,0.8486442574947509,0.5289640103269624
BUF,94.0,48.0,279.0,2020,0,Spring,Afternoon,Afternoon,-8.5,7.1,28.4,0.8,0.0,0.56,6.0,71,8.299999999999999,4.8,17.2,35.3,0.0,0.0,0.0,0.0,3,10.1,Republic Airline,0.8660254037844387,-0.49999999999999983,0.39435585511331855,0.9189578116202306
RSW,156.0,126.0,993.0,2020,1,Winter,Morning,Morning,-23.2,8.0,24.5,0.0,0.0,0.0,0.0,0,12.700000000000003,22.9,26.6,52.2,0.0,0.0,0.0,0.0,3,10.2,American Airlines Inc.,0.49999999999999994,0.8660254037844387,0.8486442574947509,0.5289640103269624
MCO,157.0,114.0,861.0,2022,0,Summer,Morning,Morning,8.7,8.4,34.2,1.0,1.0,0.0,2.0,53,10.6,26.7,13.7,28.4,10.8,10.8,0.0,5.0,65,9.8,Spirit Air Lines,-0.8660254037844384,-0.5000000000000004,0.72479278722912,0.6889669190756866
MCO,153.0,110.0,861.0,2024,1,Summer,Afternoon,Morning,5.6,12.0,47.2,0.0,0.0,0.0,0.0,1,11.0,28.5,12.7,25.6,0.5,0.5,0.0,1.0,53,9.400000000000002,Frontier Airlines Inc.,-0.4999999999999998,-0.8660254037844388,0.8486442574947509,0.5289640103269624
DFW,187.0,157.0,1303.0,2020,0,Winter,Night,Evening,-12.3,9.1,45.7,1.4,0.0,1.05,8.0,73,9.2,10.5,18.8,38.5,0.4,0.4,0.0,2.0,51,7.3,American Airlines Inc.,-2.4492935982947064e-16,1.0,0.39435585511331855,0.9189578116202306
DFW,190.0,163.0,1303.0,2024,0,Spring,Afternoon,Morning,-5.8,8.9,30.6,0.3,0.0,0.21,3.0,71,15.6,15.8,15.2,36.0,0.0,0.0,0.0,0.0,0,18.6,American Airlines Inc.,0.8660254037844387,-0.49999999999999983,0.5712682150947923,0.8207634412072763
